Date,Open,High,Low,Close,Volume,Change
2026-01-30,21050,39500,20250,34850,63019833,
2026-02-02,38000,42800,33600,38500,29984936,0.10473457675753228
2026-02-03,36950,39200,34350,34550,8395227,-0.10259740259740258
2026-02-04,35700,36350,31100,31400,5106393,-0.09117221418234445
2026-02-05,30800,38400,29050,31050,21129244,-0.011146496815286677
2026-02-06,31550,34950,28900,29300,7699763,-0.056360708534621606
2026-02-09,30200,31350,28250,28750,1481351,-0.018771331058020424
2026-02-10,28800,29400,25900,26100,1528515,-0.09217391304347822
2026-02-11,26250,28250,26200,26300,1565794,0.00766283524904221
2026-02-12,26800,30650,26350,28750,5633291,0.09315589353612164
2026-02-13,28800,30100,26650,26700,1694280,-0.07130434782608697
2026-02-19,24200,25000,23000,23200,3159401,-0.13108614232209737
2026-02-20,23500,23850,22550,22700,1458607,-0.02155172413793105
2026-02-23,22800,23400,21600,21900,989519,-0.03524229074889873
2026-02-24,22250,24350,22200,23050,2606521,0.05251141552511407
2026-02-25,23300,23350,22050,22100,763011,-0.041214750542299394
2026-02-26,22400,22750,21500,21650,724247,-0.020361990950226283
2026-02-27,21650,23300,20500,21650,1868422,0.0
2026-03-03,21000,21000,19710,19710,1081461,-0.0896073903002309
2026-03-04,19670,22900,17170,17170,3875988,-0.12886859462201927
2026-03-05,18550,19650,18100,19130,920786,0.11415259172976122
2026-03-06,19240,20900,18640,19750,915120,0.032409827496079346
2026-03-09,19670,20550,17570,18000,974352,-0.08860759493670889
2026-03-10,18560,18950,18000,18320,472373,0.01777777777777767
2026-03-11,18540,19900,18540,19050,569834,0.03984716157205237
2026-03-12,19000,21950,18500,20350,3104759,0.06824146981627299
2026-03-13,20950,21150,19210,19300,745547,-0.051597051597051635
2026-03-16,19330,19480,18370,18460,411302,-0.04352331606217619
2026-03-17,18660,19250,18330,18330,371149,-0.007042253521126751
2026-03-18,18500,19180,18500,18860,260231,0.0289143480632843
